net,length_um
clknet_0_clk,275.21µm
net182,170.66µm
net144,161.01µm
net143,154.28µm
net171,150.06µm
net139,135.1µm
net157,132.58µm
net136,128.54µm
net177,127.18µm
net135,126.12µm
clknet_4_5_0_clk,125.7µm
clk,121.35µm
net145,120.3µm
clknet_4_15_0_clk,118.23µm
net164,116.24µm
net154,116.23µm
net167,114.26µm
net146,112.92µm
_0302_,112.57µm
net172,110.96µm
clknet_4_2_0_clk,106.98µm
net181,106.395µm
net159,105.57µm
net176,105.34µm
net168,104.97µm
net161,104.56µm
_0303_,103.99µm
net170,102.93µm
net132,101.54µm
net165,100.94µm
net74,97.88µm
clknet_4_11_0_clk,97.16µm
net147,96.6µm
net153,96.12µm
net174,95.56µm
net156,91.6µm
clknet_4_14_0_clk,91.42µm
clknet_4_4_0_clk,90.34µm
net162,89.9µm
net134,89.775µm
net138,89.2µm
net107,88.64µm
clknet_4_0_0_clk,88.2µm
net142,87.29µm
net169,87.29µm
clknet_4_13_0_clk,86.38µm
clknet_4_7_0_clk,85.53µm
clknet_4_8_0_clk,85.1µm
net140,84.89µm
net175,84.87µm
net155,82.3µm
net137,80.69µm
net160,80.43µm
net100,79.7µm
net163,78.91µm
net179,78.02µm
clknet_4_1_0_clk,77.755µm
net150,77.34µm
net65,76.9µm
net149,76.7µm
net158,76.565µm
p[15],75.85µm
net166,75.24µm
net151,74.25µm
_0307_,73.96µm
clknet_4_12_0_clk,73.5µm
clknet_4_10_0_clk,73.48µm
net133,72.4µm
_0305_,71.86µm
_0308_,70.4µm
clknet_4_6_0_clk,70.14µm
net122,70.02µm
net108,69.32µm
_0304_,68.79µm
net55,68µm
net128,67.94µm
net141,66µm
net80,63.66µm
net178,62.92µm
net180,62.59µm
_0471_,59.18µm
net173,58.68µm
net109,58µm
net79,57.44µm
_0345_,56.66µm
net101,55.42µm
p[16],55.35µm
p[24],55.14µm
p[20],55.09µm
net106,52.78µm
clknet_4_9_0_clk,52.04µm
net66,51.72µm
net104,51.42µm
net125,50.92µm
net50,50.54µm
p[1],50.39µm
p[19],49.75µm
_0053_,49.38µm
Y\[0\],48.5µm
clknet_4_3_0_clk,48.48µm
net152,48.38µm
_0052_,48.18µm
p[32],47.78µm
p[6],47.7µm
net78,47.04µm
Y\[10\],46.78µm
net81,46.46µm
_0051_,46.42µm
net25,45.36µm
p[21],44.73µm
_0054_,44.49µm
net148,44.14µm
net7,43.34µm
net110,42.87µm
cnt\[4\],42.72µm
net97,42.62µm
net98,41.8µm
net69,41.74µm
net83,41.7µm
p[18],41.63µm
net5,41.38µm
net127,41.24µm
net44,40.68µm
mc[1],40.29µm
net105,40.2µm
net273,40.185µm
_0057_,39.98µm
net87,39.6µm
p[22],39.45µm
_0055_,39.23µm
p[23],39.11µm
net77,38.65µm
p[7],38.12µm
net84,37.98µm
p[10],37.17µm
net40,36.3µm
net33,36.09µm
net281,36.08µm
p[9],35.86µm
net82,35.48µm
net71,35.34µm
net363,35.34µm
p[53],35.15µm
p[59],34.19µm
p[8],33.98µm
net26,33.96µm
net96,33.96µm
net72,33.58µm
net114,33.52µm
net76,33.3µm
net8,33µm
net9,32.08µm
p[39],31.95µm
net120,31.36µm
net67,31.24µm
_0050_,31.16µm
net111,31µm
net75,30.98µm
p[55],30.83µm
net264,30.62µm
net73,30.36µm
mc[14],30.21µm
p[26],30.08µm
net118,30.04µm
_0086_,29.87µm
p[57],29.47µm
net119,29.36µm
net59,29.22µm
net269,29.18µm
_0042_,29.1µm
mc[0],28.87µm
mc[2],28.7µm
net325,28.2µm
_0088_,28.15µm
net312,27.54µm
_0085_,27.34µm
net41,27.32µm
net10,27.3µm
cnt\[5\],27.18µm
p[17],26.79µm
Y\[26\],26.64µm
_0048_,26.58µm
net361,26.4µm
p[52],26.31µm
cnt\[0\],26.28µm
p[25],26.28µm
_0056_,26.19µm
Y\[15\],26.06µm
_0340_,25.78µm
net94,25.76µm
p[63],25.72µm
net345,25.6µm
p[5],25.59µm
net372,25.58µm
net115,25.54µm
net117,25µm
p[50],24.97µm
net23,24.84µm
Y\[7\],24.76µm
net352,24.47µm
_0058_,24.46µm
mp[0],24.36µm
net6,24.3µm
_0401_,24.18µm
p[27],24.14µm
mc[3],24.1µm
net116,23.98µm
_0476_,23.76µm
net56,23.67µm
net24,23.62µm
net91,23.54µm
net4,23.5µm
p[54],23.47µm
mp[30],23.44µm
_0049_,23.37µm
net88,23.28µm
