Instance,Terminal,Layer,X location,Y location,Voltage
FILLER_0_45_195,VPWR,li1,95.4500,133.2800,1.799668
FILLER_0_45_185,VPWR,li1,90.8500,133.2800,1.799683
FILLER_0_45_181,VPWR,li1,89.7000,133.2800,1.799683
FILLER_0_45_175,VPWR,li1,86.7100,133.2800,1.799695
FILLER_0_45_163,VPWR,li1,80.9600,133.2800,1.799708
FILLER_0_45_146,VPWR,li1,73.6000,133.2800,1.799736
FILLER_0_45_141,VPWR,li1,70.8400,133.2800,1.799744
FILLER_0_45_139,VPWR,li1,69.6900,133.2800,1.799744
FILLER_0_45_135,VPWR,li1,67.8500,133.2800,1.799750
FILLER_0_45_125,VPWR,li1,63.9400,133.2800,1.799764
FILLER_0_45_121,VPWR,li1,61.4100,133.2800,1.799774
FILLER_0_45_113,VPWR,li1,57.9600,133.2800,1.799791
FILLER_0_45_111,VPWR,li1,56.8100,133.2800,1.799791
FILLER_0_45_104,VPWR,li1,54.2800,133.2800,1.799801
FILLER_0_45_98,VPWR,li1,51.2900,133.2800,1.799820
FILLER_0_45_90,VPWR,li1,48.7600,133.2800,1.799830
FILLER_0_45_85,VPWR,li1,45.0800,133.2800,1.799838
FILLER_0_45_83,VPWR,li1,43.9300,133.2800,1.799847
FILLER_0_45_76,VPWR,li1,41.4000,133.2800,1.799858
FILLER_0_45_70,VPWR,li1,38.4100,133.2800,1.799866
FILLER_0_45_62,VPWR,li1,35.8800,133.2800,1.799878
FILLER_0_45_57,VPWR,li1,32.2000,133.2800,1.799898
FILLER_0_45_55,VPWR,li1,31.0500,133.2800,1.799898
FILLER_0_45_51,VPWR,li1,29.9000,133.2800,1.799907
FILLER_0_45_46,VPWR,li1,27.1400,133.2800,1.799916
FILLER_0_45_41,VPWR,li1,24.8400,133.2800,1.799927
FILLER_0_45_29,VPWR,li1,21.6200,133.2800,1.799948
FILLER_0_45_27,VPWR,li1,18.1700,133.2800,1.799948
FILLER_0_45_15,VPWR,li1,15.1800,133.2800,1.799948
FILLER_0_45_3,VPWR,li1,9.6600,133.2800,1.799948
FILLER_0_44_195,VPWR,li1,95.4500,133.2800,1.799668
FILLER_0_44_183,VPWR,li1,89.9300,133.2800,1.799683
FILLER_0_44_165,VPWR,li1,81.8800,133.2800,1.799708
FILLER_0_44_154,VPWR,li1,76.8200,133.2800,1.799720
FILLER_0_44_145,VPWR,li1,72.9100,133.2800,1.799736
FILLER_0_44_130,VPWR,li1,66.0100,133.2800,1.799757
FILLER_0_44_100,VPWR,li1,52.2100,133.2800,1.799809
FILLER_0_44_95,VPWR,li1,49.6800,133.2800,1.799820
FILLER_0_44_85,VPWR,li1,45.5400,133.2800,1.799838
FILLER_0_44_80,VPWR,li1,43.2400,133.2800,1.799847
FILLER_0_44_74,VPWR,li1,40.2500,133.2800,1.799858
FILLER_0_44_65,VPWR,li1,35.6500,133.2800,1.799878
FILLER_0_44_58,VPWR,li1,32.8900,133.2800,1.799890
FILLER_0_44_29,VPWR,li1,19.3200,133.2800,1.799948
FILLER_0_44_27,VPWR,li1,18.1700,133.2800,1.799948
FILLER_0_44_15,VPWR,li1,15.1800,133.2800,1.799948
FILLER_0_44_3,VPWR,li1,9.6600,133.2800,1.799948
FILLER_0_43_271,VPWR,li1,130.6400,127.8400,1.799481
FILLER_0_43_230,VPWR,li1,111.5500,127.8400,1.799493
FILLER_0_43_178,VPWR,li1,87.8600,127.8400,1.799539
FILLER_0_43_136,VPWR,li1,68.3100,127.8400,1.799611
FILLER_0_43_113,VPWR,li1,57.9600,127.8400,1.799661
FILLER_0_43_110,VPWR,li1,56.5800,127.8400,1.799670
FILLER_0_43_55,VPWR,li1,31.0500,127.8400,1.799842
FILLER_0_43_23,VPWR,li1,16.7900,127.8400,1.799913
FILLER_0_43_15,VPWR,li1,14.2600,127.8400,1.799912
FILLER_0_43_3,VPWR,li1,9.6600,127.8400,1.799912
FILLER_0_42_231,VPWR,li1,112.2400,127.8400,1.799490
FILLER_0_42_194,VPWR,li1,95.2200,127.8400,1.799520
FILLER_0_42_173,VPWR,li1,85.3300,127.8400,1.799547
FILLER_0_42_167,VPWR,li1,83.7200,127.8400,1.799554
FILLER_0_42_68,VPWR,li1,37.0300,127.8400,1.799793
FILLER_0_42_47,VPWR,li1,27.3700,127.8400,1.799860
FILLER_0_42_20,VPWR,li1,15.1800,127.8400,1.799912
